product_id,product_name,product_description,product_price,product_sizes,product_colors,brand_id
14,Beaded Sandals,"Flat sandals with beaded detailing, offering both comfort and style for beach walks or city strolls.",80.00,6|7|8|9|10,Gold|Silver,1
15,Striped Sun Dress,"Short sun dress with bold stripes and a fitted waist, great for weekend brunches or daytime events.",95.00,S|M|L|XL,Blue Stripe|Green Stripe,1
16,Linen Wide-Leg Pants,"High-waisted wide-leg pants in linen, offering comfort and breathability along with chic style.",110.00,S|M|L|XL,Natural|Charcoal,1
17,Silk Wrap Blouse,"High-quality silk blouse with a wrap design, adding a touch of luxury to everyday wear.",140.00,XS|S|M|L|XL,Rose Pink|Pearl White,1
18,Polka Dot Scarf,"Silk scarf with a playful polka dot pattern, perfect for accessorizing or adding a pop of color to outfits.",35.00,One Size,Red Dot|Black Dot,1
19,Jersey Knit Cardigan,"Lightweight cardigan in a soft jersey knit, easy to throw on over any outfit as the temperature shifts.",50.00,XS|S|M|L|XL,Heather Grey|Pastel Blue,1
20,High-Rise Culottes,"Flowing culottes with a high rise, combining the comfort of shorts with the elegance of a skirt.",65.00,S|M|L|XL,Teal|Coral,1
21,Classic Button-Down Shirt,Essential cotton button-down shirt with a crisp collar and cuffed sleeves.,70.00,XS|S|M|L|XL,White|Light Blue|Pink,1
22,Printed Scarf Blouse,"Lightweight blouse with a scarf print, tie-neck detail, and flutter sleeves.",85.00,XS|S|M|L|XL,Navy Print|Coral Print,1
23,Utility Jacket,Lightweight utility jacket with multiple pockets and a drawstring waist.,110.00,S|M|L|XL,Olive Green|Tan,1
24,Frayed Denim Shorts,Casual denim shorts with a frayed hem and a slight stretch for comfort.,60.00,XS|S|M|L|XL,Dark Wash|Light Wash,1
25,Knit Pullover Sweater,"Soft knit pullover sweater with a relaxed fit, perfect for cooler spring evenings.",75.00,S|M|L|XL,Marigold|Sage Green,1
26,Tiered Maxi Dress,Flowy tiered maxi dress with adjustable straps and a bold floral pattern.,130.00,S|M|L|XL,Black Floral|White Floral,1
27,Striped Canvas Espadrilles,Comfortable espadrilles with a striped canvas upper and jute sole.,55.00,6|7|8|9|10,Navy Stripe|Red Stripe,1
28,Pencil Skirt,"Structured pencil skirt in a stretch fabric, ideal for office wear.",65.00,S|M|L|XL,Black|Navy,1
29,Silk Blend Cami,"Silk blend camisole with delicate lace trim, perfect for layering under blazers or cardigans.",55.00,XS|S|M|L|XL,Champagne|Black,1
30,Wide Brim Straw Hat,"Wide brim straw hat, perfect for sun protection while adding a stylish element to any outfit.",40.00,One Size,Natural Straw|Black Ribbon,1
31,Boho Chic Maxi Skirt,Long boho-style skirt with intricate prints and a comfortable elastic waist.,90.00,S|M|L|XL,Turquoise Print|Coral Print,1
32,Textured Crop Pants,"Textured crop pants with a tapered leg and high waist, offering a modern twist to classic trousers.",95.00,S|M|L|XL,Ivory|Black,1
33,Floral Print Blazer,"Lightweight blazer with a vibrant floral print, perfect for adding a statement piece to any outfit.",120.00,XS|S|M|L|XL,Floral Print,1
34,Peasant Blouse,Soft cotton peasant blouse with embroidery details and tassel ties at the neckline.,80.00,XS|S|M|L|XL,White|Sky Blue,1
35,Block Heel Sandals,"Block heel sandals with ankle strap, combining comfort and elegance.",85.00,6|7|8|9|10,Nude|Black,1
36,Mini Bucket Bag,"Compact leather bucket bag with drawstring closure, ideal for everyday essentials.",95.00,One Size,Caramel|Black,1
37,Wrap Around Skirt,Lightweight wrap-around skirt with a high-low hem and floral print.,75.00,S|M|L|XL,Pink Floral|Blue Floral,1
38,Ribbed Tank Top,"Basic ribbed tank top, stretchable and perfect for layering or wearing alone.",25.00,XS|S|M|L|XL,White|Grey|Black,1
39,Tie Waist Culottes,"Stylish culottes with a tie waist and wide legs, crafted from a lightweight fabric.",80.00,S|M|L|XL,Navy|Beige,1
40,Quilted Slip-On Sneakers,"Quilted slip-on sneakers, combining comfort with a touch of chic style.",70.00,6|7|8|9|10,White|Black,1
41,Ankle Length Trench Coat,"Classic trench coat updated to ankle length, with tie waist and storm flaps.",160.00,S|M|L|XL,Beige|Olive Green,1
42,Embroidered Denim Jacket,Denim jacket enhanced with colorful embroidery on the back and sleeves.,120.00,XS|S|M|L|XL,Medium Wash,1
43,Paisley Bandana,"Silk paisley bandana, a versatile accessory that can be worn in the hair, around the neck, or as a wristband.",30.00,One Size,Red Paisley|Blue Paisley,1
44,V-Neck Jumpsuit,"Chic jumpsuit with a deep V-neck and tapered leg, suitable for both day and evening wear.",120.00,S|M|L|XL,Black|Emerald Green,1
45,Ballet Flats,Classic ballet flats with a soft leather upper and a small bow detail.,75.00,6|7|8|9|10,Rose Pink|Navy,1
46,Mesh Panel Leggings,"High-performance leggings with mesh panels for ventilation, suitable for active and casual wear.",45.00,XS|S|M|L|XL,Black|Grey,1
47,Tie-Dye T-shirt,"Casual T-shirt with a vibrant tie-dye pattern, perfect for a relaxed day out.",35.00,XS|S|M|L|XL,Multi-Color,1
48,Leather Moto Jacket,"Stylish leather moto jacket, a must-have for edgy spring evening wear.",150.00,S|M|L|XL,Black,1
49,Pleated Midi Dress,"Elegantly pleated midi dress, perfect for formal gatherings or office wear.",110.00,S|M|L|XL,Various Colors,1
50,High Top Sneakers,"Durable high top sneakers, suitable for casual outings and versatile for various looks.",85.00,One Size,Black|White,1
51,Satin Evening Bag,"Elegant satin evening bag, perfect for complementing a formal outfit.",70.00,S|M|L|XL,Various Shades,1
52,Sleeveless Vest,"Sleeveless vest designed for layering, with a streamlined fit and adjustable back.",80.00,XS|S|M|L|XL,Black,1
53,Silk Pajama Set,"Luxurious silk pajama set, featuring a button-up top and matching pants, ideal for lounging in style.",60.00,XS|S|M|L|XL,Various Patterns,1
54,Crochet Beach Cover-Up,"Crochet beach cover-up with a deep V-neck and intricate pattern, perfect for resort wear.",95.00,XS|S|M|L|XL,Various Colors,1
55,Velvet Slip Dress,"Velvet slip dress with a deep back and delicate straps, ideal for evening events.",90.00,XS|S|M|L|XL,Black|Gold,1
56,Chunky Knit Throw,"Chunky knit throw, perfect for adding a cozy touch to your spring evenings at home.",120.00,S|M|L|XL,White|Grey,1
57,Cotton Twill Cap,"Cotton twill cap, a staple accessory for sunny days, available in versatile solid colors.",40.00,XS|S|M|L|XL,Various Patterns,1
58,Faux Leather Skirt,"Faux leather skirt with a sleek silhouette, adding an edge to any daytime or evening outfit.",65.00,XS|S|M|L|XL,Multi-Color,1
59,Vintage Wash Jeans,"Vintage wash jeans with a high rise and straight leg, combining comfort with classic style.",55.00,One Size,Blue|Green,1
60,Cashmere Scarf,"Soft cashmere scarf, providing warmth and luxury on cooler spring days.",30.00,6|7|8|9|10,Black|Silver,1
61,Sequin Mini Skirt,"Sequin mini skirt, adding a sparkling touch to party outfits or casual mix-and-match styles.",85.00,XS|S|M|L|XL,Various Prints,1
62,Waterfall Cardigan,"Waterfall cardigan with a flowing front, perfect for draping over spring outfits.",70.00,One Size,Black|White,1
63,Oversized Sunglasses,"Oversized sunglasses, offering stylish protection from the sun with a modern aesthetic.",40.00,S|M|L|XL,Silver|Gold,1
64,Floral Stud Earrings,"Floral stud earrings, adding a subtle floral charm to any springtime look.",95.00,XS|S|M|L|XL,Various Shades,1
65,Herringbone Necklace,"Herringbone necklace, a sophisticated piece that complements both casual and formal wear.",50.00,6|7|8|9|10,Black|White,1
66,Stiletto Pumps,"Stiletto pumps, essential for elevating any evening look with sleek sophistication.",60.00,S|M|L|XL,Various Prints,1
67,Wool Beret,"Wool beret, adding a touch of European flair to any outfit, perfect for chilly mornings.",100.00,S|M|L|XL,Blue|Green|Red,1
68,Layered Tulle Skirt,"Layered tulle skirt, creating a soft and romantic silhouette suitable for special occasions.",85.00,6|7|8|9|10,Black|Brown,1
69,Structured Crossbody Bag,"Structured crossbody bag, combining practicality with fashion-forward styling.",120.00,XS|S|M|L|XL,Various Textures,1
70,Chunky Platform Boots,"Chunky platform boots, ideal for adding height and attitude to any spring ensemble.",80.00,S|M|L|XL,Black|White,1
71,Embellished Clutch,"Embellished clutch, perfect for carrying essentials to evening events, with sparkle and style.",85.00,XS|S|M|L|XL,Various Shades,1
72,Silk Bomber Jacket,"Silk bomber jacket, combining classic sportiness with luxurious fabric, perfect for casual outings.",90.00,6|7|8|9|10,Multi-Color,1
73,Cropped Hoodie,"Cropped hoodie in a soft material, ideal for gym sessions or casual weekend looks.",95.00,S|M|L|XL,Various Patterns,1
74,Asymmetrical Hem Top,"Asymmetrical hem top, offering a modern twist to the classic blouse, suitable for office or casual wear.",85.00,XS|S|M|L|XL,Various Shades,1
75,Strappy Heels,"Strappy heels, designed to add a sophisticated and sexy touch to any ensemble.",80.00,6|7|8|9|10,Blue|Green|Red,1
76,Fitted Blazer,"Fitted blazer in a sharp silhouette, perfect for professional settings or dressing up casual pieces.",110.00,S|M|L|XL,Various Prints,1
77,Bodycon Midi Dress,"Bodycon midi dress, designed to hug the figure and accentuate curves, suitable for evening events.",85.00,S|M|L|XL,Various Patterns,1
78,Slouchy Tote Bag,"Slouchy tote bag, offering ample space and a laid-back style, perfect for everyday use.",60.00,S|M|L|XL,Multi-Color,1
79,Leather Gladiator Sandals,"Leather gladiator sandals, a bold choice for warm-weather outings, offering both style and comfort.",70.00,6|7|8|9|10,Black|Brown,1
80,Pinstripe Blouse,"Pinstripe blouse, blending classic tailoring with a contemporary style, suitable for the office.",85.00,One Size,Various Shades,1
81,Chevron Knit Sweater,"Chevron knit sweater, adding geometric interest and warmth on breezy days.",75.00,S|M|L|XL,Various Patterns,1
82,Suede Ankle Boots,"Suede ankle boots, a versatile footwear option that pairs well with both jeans and skirts.",95.00,S|M|L|XL,Black|White,1
83,Paneled Leggings,"Paneled leggings, featuring contoured panels for a flattering fit, suitable for workouts or casual wear.",70.00,6|7|8|9|10,Various Colors,1
84,Smocked Crop Top,"Smocked crop top, a trendy piece offering a flattering fit and youthful vibe.",30.00,6|7|8|9|10,Black|Silver,1
85,Geometric Pattern Scarf,"Geometric pattern scarf, adding a pop of pattern and color to any spring outfit.",85.00,XS|S|M|L|XL,Various Textures,1
86,Distressed Denim Capris,"Distressed denim capris, ideal for casual weekends with a relaxed and worn-in look.",110.00,S|M|L|XL,Black|White,1
87,Flared Jumpsuit,"Flared jumpsuit, combining elegance and comfort in one piece, suitable for various occasions.",85.00,S|M|L|XL,Various Prints,1
88,Textured Hoop Earrings,"Textured hoop earrings, adding a modern touch to accessorizing, suitable for day or night.",70.00,XS|S|M|L|XL,Multi-Color,1
89,Compact Umbrella,"Compact umbrella, essential for unexpected spring showers, in stylish designs.",95.00,XS|S|M|L|XL,Black|White,1
90,Mock Neck Sweater,"Mock neck sweater, providing warmth and a sleek silhouette, great for layering.",80.00,XS|S|M|L|XL,Black|White,1
91,Layered Maxi Dress,"Layered maxi dress, offering a flowing and graceful look for formal or casual spring events.",65.00,XS|S|M|L|XL,Various Colors,1
92,Ballet Wrap Sweater,"Ballet wrap sweater, combining elegance and comfort, ideal for chilly mornings or layering.",70.00,S|M|L|XL,Various Shades,1
93,Faux Fur Stole,"Faux fur stole, adding a luxurious and warm accent to evening or bridal outfits.",40.00,S|M|L|XL,Various Patterns,1
94,Patent Leather Oxfords,"Patent leather Oxfords, a polished footwear choice for office wear or formal occasions.",85.00,S|M|L|XL,Various Colors,1
95,Graphic Pullover Hoodie,"Graphic pullover hoodie, adding a casual and artistic flair to everyday wear.",95.00,S|M|L|XL,Various Prints,1
96,Ruched Bodycon Skirt,"Ruched bodycon skirt, offering a figure-flattering and stylish option for nights out.",100.00,S|M|L|XL,Various Textures,1
97,Tweed Jacket,"Tweed jacket, a classic piece that brings sophistication and texture to any ensemble.",90.00,S|M|L|XL,Various Shades,1
98,Tassel Loafers,"Tassel loafers, combining comfort and traditional style, suitable for both casual and office wear.",95.00,S|M|L|XL,Various Patterns,1
99,Off-Shoulder Peplum Top,"Off-shoulder peplum top, showcasing a romantic and feminine silhouette, perfect for date nights or events.",85.00,S|M|L|XL,Various Shades,1
100,Thermal Zip-Up Jacket,"Thermal zip-up jacket, providing warmth and style for active or casual spring days.",55.00,S|M|L|XL,Various Shades,1
101,Adicolor Classic Round Bag,"Whether you're hitting the streets or heading to a festival, this adidas bag has you covered. Carry all your essentials in the main zip compartment. Adjust the strap to your perfect length and you're ready to get going. Made from durable yet lightweight polyurethane, this retro-inspired bag is an everyday essential built to last.",35.00,One Size,"Energy Ink, Active Pink",2
102,Adicolor Classic Round Bag,"Whether you're hitting the streets or heading to a festival, this adidas bag has you covered. Carry all your essentials in the main zip compartment. Adjust the strap to your perfect length and you're ready to get going. Made from durable yet lightweight polyurethane, this retro-inspired bag is an everyday essential built to last.",35.00,One Size,"Energy Ink, Active Pink",2
103,Graphics Floral Firebird Track Pants,"THIS FRESH TAKE ON ICONIC TRACK PANTS IS MADE IN PART WITH RECYCLED MATERIALS. Crafted with adidas Originals DNA, these track pants are an elegant take on sport-inspired style. Floral embroidery dances across one leg, elevating the heritage silhouette with premium details. A loose, casual fit creates an air of ease, and the satin fabric brings a touch of luxury. Whether paired with sneakers or heels, these pants make a statement. This product is made with at least 70% recycled materials. By reusing materials that have already been created, we help to reduce waste and our reliance on finite resources and reduce the footprint of the products we make.",80.00,"2XS, XS, S, M, L",Black,2
104,Adicolor Classics Loose Firebird Track Top,"Get ready to set the streets on fire in this dynamic track top. A must-have for any adidas enthusiast, the iconic Firebird tracksuit has been making waves since the '80s with its modern-yet-authentic attitude. Crafted from a shiny recycled tricot, this jacket stays true to its sporty roots thanks to its stand-up collar and classic 3-Stripes down the sleeves. Pop it on with your favorite jeans or joggers for an effortlessly casual look that's sure to be noticed. Made with a series of recycled materials, and at least 70% recycled content, this product represents just one of our solutions to help end plastic waste.",80.00,"2XS, XS, S, M, L, XL, 2XL","Purple, Black",2
105,Adicolor Classics Loose Firebird Track Top,"Get ready to set the streets on fire in this dynamic track top. A must-have for any adidas enthusiast, the iconic Firebird tracksuit has been making waves since the '80s with its modern-yet-authentic attitude. Crafted from a shiny recycled tricot, this jacket stays true to its sporty roots thanks to its stand-up collar and classic 3-Stripes down the sleeves. Pop it on with your favorite jeans or joggers for an effortlessly casual look that's sure to be noticed. Made with a series of recycled materials, and at least 70% recycled content, this product represents just one of our solutions to help end plastic waste.",80.00,"2XS, XS, S, M, L, XL, 2XL","Purple, Black",2
106,Adicolor Firebird Loose Track Pants,"Represent the adidas Originals lifestyle in all its authentic glory. These iconic Firebird track pants are built for comfort, movement and long-term wear, thanks to their super-soft tricot build. 3-Stripes down the legs and an embroidered Trefoil logo add an unmistakable heritage flavor. Casually confident and classically cool, these relaxed pants are a must-have in any wardrobe. Made with 100% recycled materials, this product represents just one of our solutions to help end plastic waste.",70.00,"2XS, XS, S, M, L, XL, 2XL","Purple, Black",2
107,Adicolor Firebird Loose Track Pants,"Represent the adidas Originals lifestyle in all its authentic glory. These iconic Firebird track pants are built for comfort, movement and long-term wear, thanks to their super-soft tricot build. 3-Stripes down the legs and an embroidered Trefoil logo add an unmistakable heritage flavor. Casually confident and classically cool, these relaxed pants are a must-have in any wardrobe. Made with 100% recycled materials, this product represents just one of our solutions to help end plastic waste.",70.00,"2XS, XS, S, M, L, XL, 2XL","Purple, Black",2
108,Adidas Forum Low Men's Shoes FY7756,"The Adidas Forum isn't just a shoe; it embodies a bold statement that resonates with style and history. Originating in 1984, this iconic footwear garnered acclaim on the basketball courts and within the music industry, blending explosive energy and cultural significance. This modern iteration retains the classic '80s vibe, featuring the distinctive X-strap ankle design in a low-top silhouette tailored for streetwear. Complete with a lace closure and adjustable strap, a durable leather upper, and a robust rubber outsole, this pair promises authenticity and timeless appeal.",79.74,"5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5, 9, 9.5, 10, 10.5, 11",Black,2
109,Adidas Originals Leopard Luxe Trefoil Crew Sweatshirt,"A COTTON FRENCH TERRY SWEATSHIRT THAT DELIVERS CONFIDENCE AND BOLD STYLE. This adidas sweatshirt transforms an iconic look into a statement piece. Soft cotton French terry and a loose silhouette create a casual go-to for cozy weekends or evenings out. Ribbed cuffs add a touch of sporty style, and a small Trefoil logo connects you to decades of athletic inspiration. Layer this sweatshirt over a camisole for a bold fashion moment or under a jacket for a pop of pattern.",65.00,"2XS, XS, S, M, L, XL, 2XL","Wonder White, Bright Red",2
110,Adidas Originals Leopard Luxe Trefoil Crew Sweatshirt,"A COTTON FRENCH TERRY SWEATSHIRT THAT DELIVERS CONFIDENCE AND BOLD STYLE. This adidas sweatshirt transforms an iconic look into a statement piece. Soft cotton French terry and a loose silhouette create a casual go-to for cozy weekends or evenings out. Ribbed cuffs add a touch of sporty style, and a small Trefoil logo connects you to decades of athletic inspiration. Layer this sweatshirt over a camisole for a bold fashion moment or under a jacket for a pop of pattern.",65.00,"2XS, XS, S, M, L, XL, 2XL","Wonder White, Bright Red",2
111,Adidas Originals Leopard Luxe Wide Leg Track Pants,"WIDE-LEG TRACK PANTS WITH A BOLD ALLOVER PRINT AND 3-STRIPES TO KEEP IT AUTHENTIC. Slip into these adidas track pants and make a bold style choice. Follow the fierce leopard spots down the leg, flaring out at the ankle for a dramatic finish. The loose, easy fit keeps you comfortable whether lounging or on the go. Pair them with sneakers for a sporty vibe or heels for a night out. Either way, you'll rock it right.",90.00,"2XS, XS, S, M, L, XL","Bright Red, Wonder White",2
112,Adidas Originals Leopard Luxe Wide Leg Track Pants,"""WIDE-LEG TRACK PANTS WITH A BOLD ALLOVER PRINT AND 3-STRIPES TO KEEP IT AUTHENTIC. Slip into these adidas track pants and make a bold style choice. Follow the fierce leopard spots down the leg, flaring out at the ankle for a dramatic finish. The loose, easy fit keeps you comfortable whether lounging or on the go. Pair them with sneakers for a sporty vibe or heels for a night out. Either way, you'll rock it right.""",90.00,"2XS, XS, S, M, L, XL","Bright Red, Wonder White",2
113,Adidas Skirt Tulle DV0851,"Exuding bold femininity, this skirt moves away from the expected with a flowing, graceful silhouette. An elongated mesh layer drapes over a shorter, opaque skirt underneath. Iconic 3-Stripes detail the sides.",55.00,"XXS, XS, S, M, L, XL, XXL",Black,2
114,Adidas Superstar Bold Gold GY2070,"Discover the epitome of classic style with the authentic low-top shoes, celebrated for their distinctive rubber shell toe. These iconic leather shoes are not only a nod to timeless design but also boast a durable rubber outsole for lasting wear. Adorned with the serrated 3-Stripes detail, they stand as a testament to unparalleled craftsmanship and the world-renowned silhouette that has captivated sneaker enthusiasts worldwide.",106.00,"5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5, 9, 9.5, 10, 10.5, 11",Black,2
115,Adidas Tensa Run 2 S Ch99,"Get your kids ready to take on life's adventures with the adidas Tensaur Run shoes.  With hook and loop straps, they're easy to put on before climbing trees or speeding around the lawn!  Durable EVA unitsole ensures comfortable play throughout their day of fun. Plus these are made from recycled materials with at least 50% recycled content - perfect for helping reduce plastic waste.",39.95,"3, 3.5, 4, 4.5, 5",Black,2
116,Adidas womens Runfalcon 3 Running Shoes,"These women's running shoes are engineered for those seeking cushioned support with every stride. Featuring a Cloudfoam midsole, they offer unparalleled step-in comfort and superior cushioning, while the lightweight and supportive textile upper ensures a snug, comfortable fit. The rubber outsole provides high traction for secure footing on any surface. Proudly made with at least 50% recycled content as part of the upper, these shoes are not only designed to enhance your running experience but also contribute to our efforts in ending plastic waste.",39.98,"5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5, 9, 9.5, 10, 10.5, 11",Black,2
117,Adidas x Gucci Baseball GG Leather Fedora Hat,"Elevate your accessory game with the Adidas x Gucci Baseball GG Leather Fedora Hat, a striking embodiment of luxury sportswear. This unique piece is the result of an extraordinary collaboration between Adidas, renowned for its athletic heritage, and Gucci, synonymous with Italian luxury and craftsmanship. Together, they have crafted a hat that stands at the crossroads of sporty functionality and high-fashion allure.This exclusive fedora is meticulously designed, featuring the iconic GG motif embossed on sumptuous leather, showcasing Gucci's signature pattern in a new light. The Adidas influence is seamlessly integrated, with the brand's emblematic three stripes subtly complementing the design, marrying the worlds of athletic wear and luxury fashion in a harmonious blend. Crafted for the discerning individual, this hat transcends traditional boundaries, offering a bold statement piece that's both elegant and edgy. Its construction ensures durability and comfort, making it suitable for a variety of occasions, from casual outings to more upscale events. As a limited edition release, the Adidas x Gucci Baseball GG Leather Fedora Hat comes with all the hallmarks of exclusivity and premium quality. It's presented in pristine condition, complete with original packaging, affirming its authenticity and collector's value. This collaboration piece is a testament to the power of partnership between two titans of their industries, offering a unique opportunity to own a rare and covetable item that blends the essence of both brands. Perfect for those who appreciate the finer details and seek to make a bold fashion statement, the Adidas x Gucci BaseballG Leather Fedora Hat is an unparalleled addition to any wardrobe.",850.00,One Size,Black,2
118,Adidas x Gucci Baseball Hat in Brown,"Step into the exclusive world of high-fashion sportswear with the limited edition Gucci x Adidas Baseball Cap. This exceptional piece marks a groundbreaking collaboration between two of the most iconic brands in fashion and sports apparel, blending Gucci's luxury aesthetic with Adidas' athletic prowess. Designed for those who appreciate the finer things in life, this baseball cap is a testament to impeccable style and quality. Crafted from premium materials, the cap boasts a sleek design adorned with the distinctive emblems of both Gucci and Adidas, creating a harmonious blend of elegance and sportiness. The size L cap ensures a comfortable fit for most, making it a versatile addition to any wardrobe. Presented in brand new condition, this cap comes with all the original packaging, ensuring its authenticity and preserving its pristine state. As a trusted seller, ConsumedShop.com guarantees that all items, including this exclusive Gucci x Adidas collaboration, are 100% authentic.",750.00,One Size,Black,2
119,Balenciaga / Adidas Trefoil Earrings,"The Adidas Trefoil Earrings, crafted from recycled sterling silver and featuring the iconic Trefoil alongside the 3-Bars logo and the 3-Stripes mark, are a testament to Adidas's commitment to sustainability and style. These exquisite dangling earrings, adorned with Adidas Trefoil and Balenciaga logos pendant, are part of Look 63 from Balenciaga's Spring '23 Collection showcased at the NYC Show, symbolizing a remarkable collaboration between Adidas and Balenciaga. Sold as a pair and designed for pierced ears, these Made in Italy earrings measure 6'' W x 12'' H x 7'', and require care with a soft cloth to maintain their luster.",695.00,One Size,Black,2
120,Essentials Rib Tank Top,"Fashion in the '70s was all about advocating for both comfort and style, something this adidas tank top knows a lot about. Even the smallest details, like the premium rib knit that creates a hugging fit and subtle texture, drive home the mood. Keep the '70s vibes alive by adding flared leggings or dolphin cut shorts.",35.00,"2XS, XS, S, M, L, XL, 2XL","Black, Wonder White, Hazy Orange, Orange",2
121,Essentials Rib Tank Top,"Fashion in the '70s was all about advocating for both comfort and style, something this adidas tank top knows a lot about. Even the smallest details, like the premium rib knit that creates a hugging fit and subtle texture, drive home the mood. Keep the '70s vibes alive by adding flared leggings or dolphin cut shorts.",35.00,"2XS, XS, S, M, L, XL, 2XL","Black, Wonder White, Hazy Orange, Orange",2
122,Essentials Rib Tank Top,"Fashion in the '70s was all about advocating for both comfort and style, something this adidas tank top knows a lot about. Even the smallest details, like the premium rib knit that creates a hugging fit and subtle texture, drive home the mood. Keep the '70s vibes alive by adding flared leggings or dolphin cut shorts.",35.00,"2XS, XS, S, M, L, XL, 2XL","Black, Wonder White, Hazy Orange, Orange",2
123,Essentials Rib Tank Top,"Fashion in the '70s was all about advocating for both comfort and style, something this adidas tank top knows a lot about. Even the smallest details, like the premium rib knit that creates a hugging fit and subtle texture, drive home the mood. Keep the '70s vibes alive by adding flared leggings or dolphin cut shorts.",35.00,"2XS, XS, S, M, L, XL, 2XL","Black, Wonder White, Hazy Orange, Orange",2
124,Faux Leather Leggings,"Smooth faux leather teams up with the casual vibe of adidas Originals in these leggings. Whether you're off to brunch or running errands around town, their sleek build puts an edgy spin on your everyday style. Signature 3-Stripes down the sides nod to sport heritage, reinventing retro details for the here and now. With a curve-hugging fit, these leggings move with you while making a seriously stylish statement.",60.00,"2XS, XS, S, M, L, XL, 2XL",Black,2
125,Grand Court 2.0 Shoes,"A COMFY, ALL-TIME CLASSIC MADE IN PART WITH RECYCLED MATERIALS. If you could only have one pair of sneakers, this could be them. These adidas Grand Court shoes with the classic 3-Stripes keep your sneaker game sharp and clean. Cloudfoam Comfort cushioning keeps the insides soft and pillowy. Pair them with any of your favorite pants because these will take you anywhere and everywhere. Made with a series of recycled materials, this upper features at least 50% recycled content.",70.00,"6.5, 7, 7.5, 8, 8.5, 9, 9.5, 10, 10.5, 11, 11.5, 12, 12.5, 13, 13.5, 14, 14.5, 15","Cloud White / Royal Blue / VividRed, Core Black / Cloud White / Core Black",2
126,Grand Court 2.0 Shoes,"A COMFY, ALL-TIME CLASSIC MADE IN PART WITH RECYCLED MATERIALS. If you could only have one pair of sneakers, this could be them. These adidas Grand Court shoes with the classic 3-Stripes keep your sneaker game sharp and clean. Cloudfoam Comfort cushioning keeps the insides soft and pillowy. Pair them with any of your favorite pants because these will take you anywhere and everywhere. Made with a series of recycled materials, this upper features at least 50% recycled content.",70.00,"6.5, 7, 7.5, 8, 8.5, 9, 9.5, 10, 10.5, 11, 11.5, 12, 12.5, 13, 13.5, 14, 14.5, 15","Cloud White / Royal Blue / VividRed, Core Black / Cloud White / Core Black",2
127,Graphics Floral Firebird Track Top,"THIS SATINY TRACK TOP IS MADE IN PART WITH RECYCLED MATERIALS. The perfect blend of sporty and chic, this track top reinvents an adidas classic with premium flair. Luxurious satin and intricate floral embroidery elevate the iconic silhouette, fusing athletic inspiration with couture details. The loose shape create an effortless drape, transitioning easily from errands to brunch and beyond. With the unmistakable Trefoil embroidered at the chest, this jacket quietly nods to adidas heritage while forging a style all its own. This product is made with at least 70% recycled materials. By reusing materials that have already been created, we help to reduce waste and our reliance on finite resources and reduce the footprint of the products we make.",90.00,"2XS, XS, S, M, L",Black,2
